tarantool,uses,c
family.show,uses,c sharp
opensis,uses,php
cheetahtemplate,uses,python
theano,uses,python
apache kafka,isA,Tool/Framework
apache samza,uses,scala
multitran,uses,c++
later procedural,isA,Programming Concept
apache portable runtime,uses,c
enigma,isA,Tool/Framework
truecrypt,isA,Tool/Framework
doxygen,isA,Tool/Framework
vcpkg,uses,c++
icedtea,uses,c++
cytoscape,uses,java
resource hacker,uses,delphi
openpilot,uses,python
gplates,uses,python
razor qt,uses,c++
gnopernicus,uses,c
interplanetary file system,uses,python
koffice,uses,c++
sqlbuddy,uses,css
ruby plsql spec,uses,ruby
dingoo a320 sdk,isA,Tool/Framework
poedit,isA,Tool/Framework
voreen,isA,Tool/Framework
py2exe,uses,c
öppna skolplattformen,isA,Tool/Framework
nagare,isA,Tool/Framework
gmx multi messenger,uses,javascript
conversational programming,isA,Programming Concept
atom,influences,functional programming
amsynth,uses,c++
pizza,influences,algebraic data type
chatsecure,isA,Tool/Framework
covidsim,isA,Tool/Framework
wix,isA,Tool/Framework
topcat,uses,java
glftpd,isA,Tool/Framework
netxms,uses,c++
intime,uses,c
glscene,isA,Tool/Framework
alice,influences,imperative programming
ultraesb,isA,Tool/Framework
gconf,uses,c
p4,influences,compiled language
orbada,uses,java
scan2cad,isA,Tool/Framework
opal,isA,Programming Language
pkgsrc,uses,c
digikam,isA,Tool/Framework
android team awareness kit,uses,c++
release,isA,Programming Concept
suricata,uses,c
geneweb,isA,Tool/Framework
go continuous delivery,isA,Tool/Framework
homebrew,isA,Tool/Framework
lxde,isA,Tool/Framework
opencl,isA,Tool/Framework
jmonkeyengine,isA,Tool/Framework
yum,uses,python
asp.net razor,uses,html
nightshade,uses,lua
js,isA,Programming Language
quantum espresso,isA,Tool/Framework
apache vxquery,uses,java
genesis,isA,Tool/Framework
phpmailer,isA,Tool/Framework
kaffe,uses,c
pyxplot,isA,Tool/Framework
ejbca,uses,java
keepassxc,isA,Tool/Framework
flood modeller,uses,delphi
klettres,isA,Tool/Framework
leafchat,uses,java
lightspark,isA,Tool/Framework
endeavour software project management,isA,Tool/Framework
apache batik,uses,java
verilator,uses,c++
ultradefrag,isA,Tool/Framework
nepomuk,uses,java
firefox 4,uses,javascript
pspell,isA,Tool/Framework
packageforge,uses,c++
bluespice mediawiki,isA,Tool/Framework
kiwi,isA,Tool/Framework
mysensors,uses,c
xl,influences,imperative
functions,isA,Programming Concept
ubiart framework,uses,c++
gtkpod,isA,Tool/Framework
infobot,isA,Tool/Framework
pungi,uses,python
simpleitk,uses,c sharp
planta project,uses,c
icub,uses,c++
openqwaq,isA,Tool/Framework
heurist,isA,Tool/Framework
tera term,uses,c++
qbittorrent,uses,c++
camino,isA,Tool/Framework
lapack,isA,Tool/Framework
ambivu 3d workstation,isA,Tool/Framework
gconf,isA,Tool/Framework
ingenias,isA,Tool/Framework
mod qos,isA,Tool/Framework
hunspell,isA,Tool/Framework
1 second everyday,isA,Tool/Framework
cannon.js,isA,Tool/Framework
adobe flash builder,uses,java
friendcaller,isA,Tool/Framework
biomart,uses,java
glib,isA,Tool/Framework
ii,uses,c
minimo,isA,Tool/Framework
xetex,uses,c++
speed dreams,uses,c++
funcjs,uses,javascript
ec,influences,procedural programming
f*,isA,Programming Language
osmocom,uses,c++
apache ambari,uses,javascript
commander one,uses,swift
xblock,isA,Tool/Framework
jabref,isA,Tool/Framework
libvisual,uses,c
gnome games collection,uses,python
quasar framework,isA,Tool/Framework
erpnext,isA,Tool/Framework
pycbc,uses,python
protocol buffers,uses,java
kalgebra,uses,c++
dokan library,uses,javascript
systemd boot,uses,c
ceylon,isA,Programming Language
htmldoc,isA,Tool/Framework
lha,isA,Tool/Framework
unbound,uses,c
qore,influences,functional
genexus,isA,Tool/Framework
scratch,isA,Programming Language
bids helper,uses,c sharp
jakarta slide,isA,Tool/Framework
tessitura,isA,Tool/Framework
parallel programming,isA,Programming Concept
findbugs,isA,Tool/Framework
gnu nano,uses,c
jts topology suite,isA,Tool/Framework
dpkg,uses,c++
quickcheck,uses,haskell
clam,isA,Tool/Framework
xine,uses,c
firefox 2,uses,c++
django,isA,Tool/Framework
chntpw,isA,Tool/Framework
gnome disks,uses,c
heekscad,isA,Tool/Framework
tor,uses,python
docfetcher,uses,java
opencpn,uses,c
oidentd,uses,c
distributed r,isA,Tool/Framework
xephem,isA,Tool/Framework
ufraw,uses,c
warzone 2100,uses,c++
389 directory server,uses,python
skia graphics engine,isA,Tool/Framework
visual understanding environment,isA,Tool/Framework
hibari,isA,Tool/Framework
apexkb,uses,php
davical,uses,php
seamonkey,uses,c++
nonvisual desktop access,uses,python
javac,isA,Tool/Framework
adobe character animator,uses,c++
gnu core utilities,uses,c
podofo,uses,c++
deegree,isA,Tool/Framework
ranger,isA,Tool/Framework
karbon,uses,c
rox desktop,uses,c
gnumed,isA,Tool/Framework
qfusion,isA,Tool/Framework
photomath,uses,java
plex,influences,procedural
syncthing,isA,Tool/Framework
gargoyle,isA,Tool/Framework
mambo,uses,php
wwiv,uses,c
labkey server,isA,Tool/Framework
cyllista game engine,uses,python
theano,isA,Tool/Framework
google kythe,uses,javascript
metronome im,uses,lua
simple cloud api,isA,Tool/Framework
netsurf,isA,Tool/Framework
ganglia,uses,python
spring integration,isA,Tool/Framework
apache aries,isA,Tool/Framework
firefox 4,uses,c++
roslyn,uses,c sharp
android debug bridge,isA,Tool/Framework
nuke,isA,Tool/Framework
shogun,uses,c++
python tools for visual studio,uses,c sharp
gputils,isA,Tool/Framework
concurrent versions system,isA,Tool/Framework
kate,uses,c++
apache pivot,uses,java
udp based data transfer protocol,isA,Tool/Framework
apache mxnet,uses,julia
openboard,uses,c++
data analytics acceleration library,uses,c++
thebrain,uses,c sharp
vbulletin,uses,php
retro engine,uses,c++
kdevelop,uses,c
eset nod32,isA,Tool/Framework
xynth,isA,Tool/Framework
sap erp,uses,c
searchlight bbs,isA,Tool/Framework
zeronet,uses,python
typo3,uses,php
react native,isA,Tool/Framework
osip,uses,c
msquic,uses,c
shark 3d,uses,python
linphone,uses,python
anjuta,isA,Tool/Framework
kgb archiver,isA,Tool/Framework
pluma,uses,c
android runtime,uses,c++
sys,isA,Tool/Framework
armitage,isA,Tool/Framework
windows package manager,uses,c++
icedtea,uses,java
moltenvk,isA,Tool/Framework
net snmp,uses,python
matrix toolkit java,isA,Tool/Framework
sqream db,uses,c++
wireshare,isA,Tool/Framework
samtools,uses,c
wayland,isA,Tool/Framework
elan software,isA,Tool/Framework
tcl,influences,imperative programming
heroengine,uses,c++
hp ux,isA,Tool/Framework
zopfli,uses,c
yui library,uses,javascript
asuite,isA,Tool/Framework
boot,uses,java
porn time,isA,Tool/Framework
uefitool,uses,c++
nitro,isA,Tool/Framework
resknife,uses,c++
easy2sync for files,isA,Tool/Framework
kalgebra,isA,Tool/Framework
nhibernate,isA,Tool/Framework
andengine,isA,Tool/Framework
active template library,isA,Tool/Framework
amphora,isA,Tool/Framework
siag office,uses,c
react native,uses,java
redshift,uses,c
apache kudu,isA,Tool/Framework
virtualdub,uses,c++
apama,isA,Tool/Framework
applewin,uses,c++
stackstorm,uses,python
bb flashback,isA,Tool/Framework
digital forensics framework,isA,Tool/Framework
cmdbuild,uses,javascript
corelcad,uses,c++
stealthnet,uses,c sharp
xfig,isA,Tool/Framework
quake engine,isA,Tool/Framework
data exchange,isA,Programming Concept
coccinella,uses,tcl
mingw w64,isA,Tool/Framework
apache forrest,isA,Tool/Framework
golaem crowd,uses,c++
cherokee,uses,javascript
encog,uses,java
apache samza,uses,java
innodb,isA,Tool/Framework
armadillo,uses,c++
macaulay2,uses,c++
onefuzz,uses,rust
jme molecule editor,uses,java
free avi video converter,isA,Tool/Framework
verilator,isA,Tool/Framework
ayttm,isA,Tool/Framework
scummvm,uses,c++
dplyr,uses,r
telephone,uses,swift
opentimestamps,uses,java
rhomobile suite,uses,javascript
tachyon,isA,Tool/Framework
grok,isA,Tool/Framework
oberon,isA,Programming Language
gnu debugger,uses,c
microweber,uses,php
microsoft automatic graph layout,isA,Tool/Framework
seamless3d,uses,c++
firefox lockwise,uses,javascript
verinice,isA,Tool/Framework
kodu game lab,isA,Tool/Framework
python scoop,uses,python
scikit learn,uses,c
autopackage,isA,Tool/Framework
audiveris,uses,java
insight segmentation and registration toolkit,uses,python
dokan library,uses,c
eric,isA,Tool/Framework
geeqie,uses,c
event driven programming,isA,Programming Concept
peertracker,uses,php
pointbase,uses,java
vtk,isA,Tool/Framework
chronozoom,uses,c sharp
visual understanding environment,uses,java
dylan,influences,programming paradigm
qtext,isA,Tool/Framework
dvbviewer,isA,Tool/Framework
f spot,uses,c++
harfbuzz,uses,c++
climm,isA,Tool/Framework
smartmontools,uses,c
eggdrop,uses,tcl
popcorn time,uses,html
percona server for mysql,uses,c
byobu,isA,Tool/Framework
cc pdf converter,uses,c++
nemiver,isA,Tool/Framework
rdock,uses,c++
featherpad,isA,Tool/Framework
amazon lumberyard,uses,c++
dryad,uses,c sharp
whitebox geospatial analysis tools,isA,Tool/Framework
breezy,uses,python
mirc,isA,Tool/Framework
apache kudu,uses,c++
dat,isA,Tool/Framework
test & performance tools platform,uses,java
frink,influences,programming paradigm
celery,uses,python
alluxio,isA,Tool/Framework
dita open toolkit,isA,Tool/Framework
rillsoft project,isA,Tool/Framework
u prove,uses,c sharp
swellrt,isA,Tool/Framework
lfe,influences,programming paradigm
microsoft visual c,isA,Tool/Framework
direct rendering infrastructure,isA,Tool/Framework
praat,uses,c
gtranslator,isA,Tool/Framework
interplanetary file system,uses,c
ubuntu touch,uses,c++
kopete,uses,c++
bitkeeper,isA,Tool/Framework
sun java system communications suite,uses,java
dnf,uses,c
c,influences,imperative
labplot,uses,c++
spree commerce,isA,Tool/Framework
framework,uses,c
gnucash,uses,scheme
ezhil,isA,Programming Language
freearc,uses,haskell
pegasus,uses,c
system security services daemon,uses,c
worldedit,uses,java
hxd,isA,Tool/Framework
gforth,uses,c
ipv4,uses,c
ddrescue,uses,c++
websphere,isA,Programming Concept
openautonomy,isA,Tool/Framework
spidermonkey,uses,c
rekonq,isA,Tool/Framework
cryengine,uses,c sharp
dconf,uses,c
libdca,isA,Tool/Framework
smplayer,uses,c++
rebeca,isA,Programming Language
inquisiq r3,isA,Tool/Framework
ada,isA,Programming Language
apache tomcat,uses,java
frozen bubble,isA,Tool/Framework
budapest reference connectome,isA,Tool/Framework
gadgettrak,uses,java
compendium,uses,java
maxdb,isA,Tool/Framework
smartfrog,uses,java
riak,isA,Tool/Framework
labview,isA,Tool/Framework
capella,uses,java
opentimestamps,uses,rust
marklogic server,uses,javascript
hxd,uses,delphi
feedly,uses,css
project darkstar,isA,Tool/Framework
mosync,uses,c++
quiterss,uses,c++
molecular modelling toolkit,isA,Tool/Framework
jhove,uses,java
spark,isA,Tool/Framework
openalpr,uses,python
apache mahout,isA,Tool/Framework
vnstat,isA,Tool/Framework
rest api,isA,Programming Concept
safari,isA,Tool/Framework
phylogenetic assignment of named global outbreak lineages,isA,Tool/Framework
c sharp,influences,generic programming
vistrails,uses,python
ibm lotus web content management,isA,Tool/Framework
polymake,uses,c++
humo gen,uses,php
mibbit,isA,Tool/Framework
