libxslt,isA,Tool/Framework
nunit,uses,c sharp
ambivu 3d workstation,uses,c++
eclipse,uses,javascript
self,influences,object oriented
jooq object oriented querying,isA,Tool/Framework
greasemonkey,isA,Tool/Framework
gizzard,uses,scala
tintin++,isA,Tool/Framework
wavelab,isA,Tool/Framework
jquery mobile,isA,Tool/Framework
steinberg cubase,isA,Tool/Framework
appserver.io,isA,Tool/Framework
reprise license manager,uses,c++
texmaker,isA,Tool/Framework
alphard,isA,Programming Language
tkhtml,uses,c
xed,isA,Tool/Framework
freetype,isA,Tool/Framework
terminusdb,isA,Tool/Framework
libav,uses,c
msql,uses,c
adobe muse,isA,Tool/Framework
ninjo,uses,java
bioctl,isA,Tool/Framework
mcstas,uses,c
roxen,isA,Tool/Framework
amsn,isA,Tool/Framework
gnu octave,uses,c
moonlight,isA,Tool/Framework
salt,isA,Tool/Framework
komodo edit,isA,Tool/Framework
qemu,uses,c
ibm websphere application server,isA,Tool/Framework
project64,uses,c++
radiance,uses,c
vmware fusion,isA,Tool/Framework
openvibe,uses,c++
joy,isA,Programming Language
awstats,uses,perl
algorithms,isA,Programming Concept
jme molecule editor,isA,Tool/Framework
salamweb,uses,python
creatio,isA,Tool/Framework
roslyn,isA,Tool/Framework
ubiquity,uses,python
rust,isA,Programming Language
pisg,isA,Tool/Framework
google authenticator,uses,java
boomerang,isA,Programming Language
mosync,uses,javascript
latexml,uses,perl
youtrack,uses,javascript
asp.net mvc,uses,c sharp
spectasia,uses,java
apache openwebbeans,uses,java
clip os,isA,Tool/Framework
wordgrinder,uses,lua
owl scientific computing,isA,Tool/Framework
exiftool,isA,Tool/Framework
casync,uses,c
witty,uses,c sharp
gnu debugger,isA,Tool/Framework
android debug bridge,uses,c++
gnu radio,uses,python
grapple,uses,c
pathscale,uses,c
kuma,isA,Tool/Framework
localwiki,isA,Tool/Framework
windows terminal,uses,c++
chatsecure,uses,swift
voreen,uses,c++
ampache,isA,Tool/Framework
bluespice mediawiki,uses,php
smartos,isA,Tool/Framework
workrave,uses,c++
ted,isA,Tool/Framework
euclid,isA,Programming Language
radare2,isA,Tool/Framework
apache cassandra,isA,Tool/Framework
wyvern,uses,java
apache hama,isA,Tool/Framework
gulp.js,isA,Tool/Framework
cantor,isA,Tool/Framework
therion,uses,c++
growl,isA,Tool/Framework
linter sql rdbms,isA,Tool/Framework
taskwarrior,uses,c++
vagrant,isA,Tool/Framework
it++,isA,Tool/Framework
apache wink,uses,java
php,influences,object oriented programming
metasfresh,uses,java
nouveau,isA,Tool/Framework
serif photoplus,uses,c++
apache arrow,uses,java
project darkstar,uses,java
go!,influences,functional
newpipe,uses,kotlin
gnome,uses,python
tesseract,isA,Tool/Framework
audiokinetic wwise,uses,c++
matlab,influences,imperative programming
gnome calculator,uses,vala
moses,uses,c++
netperf,uses,c
navit,uses,c
chainer,uses,python
raptor,influences,imperative programming
xos webtop,uses,javascript
opencv,uses,c
laplacesdemon,uses,c++
nanohttpd,uses,java
rstudio,uses,javascript
hiphop for php,uses,c++
vips,uses,c
vino,isA,Tool/Framework
sonic pi,uses,ruby
more,isA,Tool/Framework
beatnik,influences,stack oriented programming
apt rpm,uses,python
open build service,isA,Tool/Framework
icinga,uses,php
clickhouse,uses,c++
clean,isA,Programming Language
internet download manager,isA,Tool/Framework
numina application framework,uses,c sharp
generic mapping tools,uses,c++
apache ibatis,uses,java
meld,uses,python
opencards,uses,java
gdata,uses,javascript
shadertoy,uses,php
openoffice.org,isA,Tool/Framework
directfb,isA,Tool/Framework
cpl,influences,programming paradigm
gnavi,isA,Tool/Framework
fontforge,uses,c
peeringdb,isA,Tool/Framework
template numerical toolkit,isA,Tool/Framework
ganglia,uses,c
openproj,isA,Tool/Framework
gnome boxes,uses,c
statxact,uses,c
org mode,isA,Tool/Framework
pyqt,uses,python
autoconf,uses,perl
quixote,uses,python
armitage,uses,java
su2 code,uses,python
searchdaimon,uses,c
openal,isA,Tool/Framework
k desktop environment 1,uses,c++
r,isA,Programming Language
distributed codec engine,isA,Tool/Framework
hunspell,uses,c++
roundup,uses,python
crystallography and nmr system,isA,Tool/Framework
squawk virtual machine,isA,Tool/Framework
mindtouch,uses,php
ezmlm,uses,c
factor,influences,programming paradigm
cốc cốc,uses,python
genesis,uses,c
montagejs,uses,html
avant window navigator,isA,Tool/Framework
jshint,isA,Tool/Framework
ttcp,isA,Tool/Framework
woocommerce,isA,Tool/Framework
computer vision annotation tool,uses,python
dock,uses,c++
bitflu,isA,Tool/Framework
transana,uses,python
network security services,isA,Tool/Framework
avro keyboard,isA,Tool/Framework
netwide assembler,uses,c
graphhopper,isA,Tool/Framework
modx,uses,php
hierarchical cluster engine project,uses,c++
paraview,uses,c
ssh keygen,isA,Tool/Framework
openqrm,uses,php
openautonomy,uses,php
orange,uses,c
rocksdb,uses,c++
go,influences,programming paradigm
flightgear,uses,c++
c.a.r.,isA,Tool/Framework
hercules,isA,Tool/Framework
angle,isA,Tool/Framework
sally project,isA,Tool/Framework
gson,isA,Tool/Framework
spring engine,isA,Tool/Framework
sawfish,uses,lisp
antlr,isA,Tool/Framework
odoo,isA,Tool/Framework
opensmile,isA,Tool/Framework
clanlib,uses,c++
fasttext,uses,python
hpcc,uses,c++
timberwolf,isA,Tool/Framework
turing,isA,Programming Language
kwrite,uses,c++
autodock,uses,c++
workflow application,isA,Programming Concept
kea,uses,c++
n world,isA,Tool/Framework
ow2 orchestra,isA,Tool/Framework
adobe character animator,isA,Tool/Framework
multiotp,uses,php
factor,influences,stack oriented programming
plesk,isA,Tool/Framework
genenetwork,uses,python
openjpeg,uses,c
keyrus,isA,Tool/Framework
fairy max,isA,Tool/Framework
gollum browser,uses,php
taskjuggler,uses,ruby
phpmyadmin,uses,javascript
invesalius,isA,Tool/Framework
client server,isA,Programming Concept
tokio,uses,rust
apbs,isA,Tool/Framework
mpqc,uses,c++
citrine,influences,prototype based programming
mflow,uses,html5
vmware workstation,uses,c
conemu,isA,Tool/Framework
koha,uses,perl
rur ple,uses,python
.net gadgeteer,isA,Tool/Framework
diodon,uses,vala
searx,uses,python
netxms,isA,Tool/Framework
techwriter,uses,c++
synapse,isA,Tool/Framework
winsol,isA,Tool/Framework
helib,isA,Tool/Framework
serif photoplus,isA,Tool/Framework
μtorrent,isA,Tool/Framework
olat,isA,Tool/Framework
mlpy,uses,c
live555,uses,c++
slrn,uses,c
deluge,uses,python
goanna,isA,Tool/Framework
uzbl,uses,python
launchbar,isA,Tool/Framework
miranda,influences,functional programming
lambdanative,uses,scheme
takatuka,isA,Tool/Framework
ocrfeeder,uses,python
gnu grub,isA,Tool/Framework
photorec,uses,c
transmission,isA,Tool/Framework
cubicweb,isA,Tool/Framework
ibm db2 family,isA,Tool/Framework
turbo vision,isA,Tool/Framework
minibloq,uses,c++
open language tools,uses,java
tornado,isA,Tool/Framework
rj texted,isA,Tool/Framework
argouml,uses,java
xorp,uses,c++
dotgnu,uses,c sharp
gnome archive manager,isA,Tool/Framework
mydlp,uses,java
ehcache,uses,java
gnome games collection,uses,c++
quassel irc,isA,Tool/Framework
pizza,isA,Programming Language
dcraw,isA,Tool/Framework
ruby,influences,imperative programming
distcc,uses,c
hiawatha,isA,Tool/Framework
apache poi,uses,java
xstream,isA,Tool/Framework
telehash,uses,c
spidermonkey,isA,Tool/Framework
netdisco,isA,Tool/Framework
binary ninja,uses,python
powertop,uses,c
operating system,isA,Programming Concept
open telecom platform,uses,erlang
apache traffic server,uses,c++
libstick,uses,javascript
nginx,isA,Tool/Framework
griffon,uses,java
pablodraw,isA,Tool/Framework
limesurvey,isA,Tool/Framework
interactive ruby shell,uses,ruby
fermat,isA,Tool/Framework
grass gis,uses,python
iotivity,isA,Tool/Framework
ntopng,isA,Tool/Framework
smw+,uses,php
scikit image,uses,c
solarized,isA,Tool/Framework
ruby mri,isA,Tool/Framework
lejos,uses,c
root,isA,Tool/Framework
mongodb,uses,javascript
nearly pure functional,isA,Programming Concept
javassist,uses,java
colwiz,uses,c++
medialib,uses,c
gnumeric,isA,Tool/Framework
clam antivirus,uses,c
knitr,isA,Tool/Framework
humhub,uses,javascript
python tools for visual studio,uses,python
spark,isA,Programming Language
showcase workshop,uses,c++
apache avalon,isA,Tool/Framework
futhark,influences,array programming
confidential consortium framework,isA,Tool/Framework
kfrlib,uses,c++
mozart the music processor,isA,Tool/Framework
jqt,isA,Tool/Framework
μtorrent,uses,c++
scummvm,isA,Tool/Framework
apache flume,uses,java
flowcode,uses,c++
asynchronous many tasking,isA,Programming Concept
abiword,uses,c++
qpsmtpd,isA,Tool/Framework
opencog,uses,python
glow,uses,javascript
object capability model,isA,Programming Concept
jubatus,uses,c++
luciddb,uses,c++
mausezahn,uses,c
c,influences,structured programming
asio c++ library,isA,Tool/Framework
mysql,uses,c
debian installer,isA,Tool/Framework
qvwm,uses,c++
nevow,uses,python
fasttext,isA,Tool/Framework
gnu scientific library,isA,Tool/Framework
flynn,isA,Tool/Framework
log4j,uses,java
gimias,uses,c++
bepdf,isA,Tool/Framework
apache batik,isA,Tool/Framework
umbraco,uses,c sharp
roadrunner,uses,go
tomahawk,uses,c++
apparmor,uses,c
wakanda,uses,javascript
selenium,uses,ruby
scons,isA,Tool/Framework
coldbox platform,uses,java
downcast,isA,Tool/Framework
diff text,isA,Tool/Framework
asprise ocr,uses,c sharp
nevow,isA,Tool/Framework
step,uses,c++
haproxy,isA,Tool/Framework
asunder,uses,c
metasploit project,isA,Tool/Framework
palm os,uses,c
firefox 3.6,uses,javascript
w3af,isA,Tool/Framework
exp4j,isA,Tool/Framework
id tech 4,isA,Tool/Framework
up2date,uses,python
ptc integrity,isA,Tool/Framework
icy phoenix,uses,php
cockroachdb,isA,Tool/Framework
theora,isA,Tool/Framework
or tools,isA,Tool/Framework
liblas,isA,Tool/Framework
imprint,uses,c sharp
tikz,isA,Tool/Framework
evergreen,uses,perl
c sharp,influences,structured programming
freeradius,uses,c
jubatus,isA,Tool/Framework
ledgersmb,uses,javascript
paizacloud cloud ide,isA,Tool/Framework
asp.net razor,isA,Tool/Framework
rgraph,uses,javascript
macdraw,uses,pascal
rtlinux,isA,Tool/Framework
backbone.js,isA,Tool/Framework
metacity,uses,c
softwarezator,uses,c sharp
seed,isA,Tool/Framework
critter,isA,Tool/Framework
procedural,isA,Programming Concept
f droid,uses,java
eli,influences,array programming
heaan,uses,c++
source,influences,programming paradigm
kodi,uses,c++
fluent design system,uses,javascript
konsole,uses,c++
foobar2000,uses,c++
comdb2,isA,Tool/Framework
openvnet,uses,ruby
javascript,influences,event driven programming
mikumikudance,uses,c++
sails.js,uses,javascript
slf4j,isA,Tool/Framework
sawmill,uses,c
openhab,isA,Tool/Framework
blender,isA,Tool/Framework
bombus,isA,Tool/Framework
fox toolkit,uses,c++
openesb,isA,Tool/Framework
interplanetary file system,uses,javascript
lattice c,isA,Tool/Framework
alpine,isA,Tool/Framework
3d slicer,uses,c++
gvsig,isA,Tool/Framework
frostwire,uses,java
lex,isA,Tool/Framework
parallel virtual machine,uses,c
gdata,uses,python
object windows library,uses,c++
koffice,isA,Tool/Framework
squirrel,influences,scripting language
ipv4,isA,Tool/Framework
apache shale,isA,Tool/Framework
pyjs,uses,python
fp,isA,Programming Language
prometheus,uses,go
lisp,influences,procedural programming
microemacs,isA,Tool/Framework
windows,isA,Tool/Framework
libsigc++,uses,c++
%5etxt2regex$,isA,Tool/Framework
haddock,uses,haskell
ragel,uses,c++
gnome latex,uses,c
c3d toolkit,uses,javascript
ircle,isA,Tool/Framework
velocity,isA,Tool/Framework
rife,isA,Tool/Framework
microsoft office,isA,Tool/Framework
bitblinder,isA,Tool/Framework
magicplot,uses,java
dooble,isA,Tool/Framework
b step sequencer,uses,c++
ciao,influences,modular programming
chocolatey,uses,c sharp
gnu fortran,uses,c++
fesom,isA,Tool/Framework
mantis bug tracker,uses,php
integrated performance primitives,uses,c
ranavision,uses,c
c,isA,Programming Language
harmor,isA,Tool/Framework
query abstraction layer,uses,python
budgie,uses,c
web3,isA,Programming Concept
pencil2d,isA,Tool/Framework
openfoam,isA,Tool/Framework
appstream,isA,Tool/Framework
xmms,uses,c
jpedal,uses,java
apache subversion,isA,Tool/Framework
simulation open framework architecture,uses,c++
mapnik,uses,c++
tangerine,uses,c
orc,influences,nondeterministic programming
dev pascal,uses,delphi
underscore.js,uses,javascript
qdevelop,isA,Tool/Framework
tidb,uses,rust
apache arrow,uses,python
urbi,uses,c++
synchronous programming language,isA,Programming Concept
ganeti web manager,uses,python
discord,uses,javascript
rocket,isA,Tool/Framework
sourcepuller,isA,Tool/Framework
euclid,influences,imperative programming
ikvm.net,uses,c sharp
free download manager,isA,Tool/Framework
opticks,isA,Tool/Framework
nitro,uses,javascript
drupal,uses,php
jabberd2,isA,Tool/Framework
hsqldb,isA,Tool/Framework
covidsim,uses,c++
apache spark,uses,scala
hp integrity virtual machines,isA,Tool/Framework
livestorm,uses,ruby
triplea,uses,java
ceph,uses,python
pyobjc,uses,python
bioctl,uses,c
virtuoso universal server,uses,c
gnu compiler collection,uses,c++
qvd,uses,javascript
goanna,uses,c++
sabredav,isA,Tool/Framework
bitcask,uses,erlang
asynchronous multi body framework,uses,python
apache cayenne,uses,java
minimo,uses,c
multiotp,isA,Tool/Framework
maxdb,uses,c++
sound credit,uses,dart
fbreader,uses,c++
pylint,isA,Tool/Framework
firebug,isA,Tool/Framework
ikonboard,uses,php
squirrel,influences,object oriented programming
subtile,isA,Tool/Framework
golaem crowd,uses,python
qutebrowser,isA,Tool/Framework
tent,uses,ruby
babylon.js,isA,Tool/Framework
data build tool,uses,python
micropython,uses,c
integra live,isA,Tool/Framework
axosoft,uses,c sharp
paint.net,uses,c++
libusb,uses,c
quake army knife,uses,python
noredink,uses,elm
axosoft,isA,Tool/Framework
apache marmotta,isA,Tool/Framework
prosody,isA,Tool/Framework
apache ctakes,uses,java
sakai,isA,Tool/Framework
windows presentation foundation,uses,c
gedit,isA,Tool/Framework
qmake,isA,Tool/Framework
webscalesql,uses,perl
csipsimple,uses,c++
mts system architecture,isA,Tool/Framework
junit,uses,java
clarion,isA,Programming Language
simple directmedia layer,isA,Tool/Framework
atoll,isA,Programming Language
catboost,uses,python
apache activemq,isA,Tool/Framework
modest,uses,c
log4j,isA,Tool/Framework
laplacesdemon,uses,r
singularity,uses,go
mockito,uses,java
bullet,uses,c
wajig,isA,Tool/Framework
chematica,uses,c++
gummi,isA,Tool/Framework
sound credit,isA,Tool/Framework
crucible,isA,Tool/Framework
sql server express,uses,c
ovn,isA,Tool/Framework
apache heron,isA,Tool/Framework
castor,isA,Tool/Framework
linux virtual server,isA,Tool/Framework
gtkmm,uses,c++
ada,influences,imperative programming
firefox 4,uses,css
vufind,uses,php
remote application platform,isA,Tool/Framework
symbolic programming,isA,Programming Concept
gnunet,isA,Tool/Framework
adodb,isA,Tool/Framework
geomesa,isA,Tool/Framework
freedombox,uses,python
casadi,uses,c++
ghidra,isA,Tool/Framework
surf,isA,Tool/Framework
ninjo,isA,Tool/Framework
frenetic,influences,reactive
spinnaker,uses,java
opendronemap,uses,javascript
nextcloud,uses,php
cryptocat,uses,javascript
thousand parsec,uses,c++
gnustep,isA,Tool/Framework
fish fillets ng,uses,lua
csunit,uses,c sharp
zerovm,isA,Tool/Framework
apache flex,isA,Tool/Framework
kdb+,isA,Tool/Framework
write!,uses,c++
svelte,isA,Tool/Framework
branch,isA,Programming Concept
cpanel,isA,Tool/Framework
gearman,isA,Tool/Framework
frameworks,isA,Programming Concept
enterprise dynamics,uses,delphi
bbc sounds,uses,javascript
racket,influences,reflective programming
openmpt,isA,Tool/Framework
gitit,uses,haskell
em client,uses,c sharp
cryptonote,isA,Tool/Framework
sablecc,isA,Tool/Framework
mypaint,uses,c
gnome applications,uses,c++
visual molecular dynamics,isA,Tool/Framework
checkstyle,uses,java
pyside,uses,python
gforth,isA,Tool/Framework
apache ignite,uses,c++
gyroscope,isA,Tool/Framework
effi,isA,Tool/Framework
redmine,isA,Tool/Framework
agile,isA,Programming Concept
atatool,isA,Tool/Framework
delphi,isA,Programming Language
aweb,uses,c
bootstrap,uses,html
txl,isA,Programming Language
opendnssec,uses,c
meadow,isA,Tool/Framework
pipeline pilot,isA,Tool/Framework
biomart,isA,Tool/Framework
weka,uses,java
anuga hydro,uses,c
qt jambi,isA,Tool/Framework
pophealth,uses,ruby
ml,influences,imperative programming
seed,uses,c
ada,influences,structured programming
x264,isA,Tool/Framework
nullsoft scriptable install system,isA,Tool/Framework
opendataplane,isA,Tool/Framework
bluegriffon,uses,css
